Accelerometer: x-axis (g),Accelerometer: y-axis (g),Accelerometer: z-axis (g),Gyroscope: x-axis (rad/s),Gyroscope: y-axis (rad/s),Gyroscope: z-axis (rad/s)
10.62,-1.13,-0.79,-0.19,0.15,0.03
10.51,-1.6,-0.45,-0.13,0.12,-0.01
10.62,-1.47,-0.08,-0.2,0.06,-0.02
10.32,-1.46,-0.4,-0.2,0.01,-0.02
10.42,-1.67,-0.26,-0.29,0.08,0.0
10.43,-1.46,-0.35,-0.38,0.09,0.09
10.7,-1.21,-0.23,-0.4,-0.0,0.16
10.27,-0.77,-1.0,0.05,-0.08,-0.08
10.56,-1.27,-0.54,0.17,-0.09,-0.04
10.42,-1.92,-0.62,0.18,-0.24,-0.05
10.07,-1.91,-1.44,0.07,-0.22,-0.04
10.19,-0.76,-0.95,0.37,-0.12,-0.19
10.37,-1.87,-0.49,0.61,0.16,-0.36
10.01,-2.58,-0.5,-0.13,-0.2,0.15
10.59,-2.26,-0.24,-0.52,0.14,0.11
10.62,-1.05,-0.83,-0.46,0.02,0.03
9.87,-0.27,-1.35,-0.1,0.03,-0.1
10.45,-1.03,-1.1,0.05,0.1,-0.08
10.01,-1.42,-1.15,0.15,0.19,-0.11
10.67,-1.57,-0.22,0.01,0.24,-0.11
10.65,-1.58,0.07,-0.24,0.08,-0.03
10.51,-1.1,-0.23,-0.3,0.03,0.0
10.43,-0.96,-0.53,-0.25,-0.03,-0.0
10.33,-0.52,-1.02,0.0,-0.04,-0.03
10.37,-1.3,-0.51,0.12,0.07,-0.06
10.51,-1.71,-0.31,0.11,0.01,-0.1
10.28,-1.54,-0.41,-0.07,-0.01,-0.03
10.42,-1.54,-0.45,-0.21,0.04,0.0
10.4,-1.1,-0.43,-0.24,0.04,-0.01
10.78,-0.48,-0.32,-0.04,-0.03,-0.06
10.98,-2.11,0.53,-0.17,-0.31,-0.01
9.48,-1.42,-1.0,-0.48,-0.18,0.13
10.42,-1.01,-0.83,-0.38,0.22,0.03
10.91,-0.71,-0.11,-0.16,-0.04,-0.05
10.22,-0.94,-0.74,0.02,-0.12,-0.07
10.42,-1.32,-0.72,0.06,-0.0,-0.05
10.36,-1.29,-0.79,0.07,-0.15,-0.06
10.31,-0.68,-1.74,0.17,-0.22,-0.07
9.43,-1.43,-1.19,0.42,0.13,-0.22
10.05,-3.66,-0.11,-0.32,0.57,-0.09
11.08,-0.61,0.01,-0.96,0.16,0.22
10.48,0.46,0.62,-0.68,0.25,0.2
10.05,-2.13,-0.19,-0.6,0.66,-0.07
9.96,-0.38,-0.56,-0.81,0.46,-0.19
10.09,-1.82,-1.13,-0.84,0.67,-0.05
10.47,-0.58,-0.22,-1.0,0.9,-0.04
10.88,-0.61,0.07,-1.03,0.81,0.03
9.64,-0.66,-0.86,-0.88,0.77,-0.0
9.94,-0.2,-0.15,-0.89,0.84,-0.02
9.8,-0.7,-0.2,-0.84,0.65,-0.11
8.22,0.87,0.98,-0.52,0.16,-0.11
5.5,1.53,1.07,-0.35,-0.14,0.03
10.37,1.07,-0.41,-0.67,0.12,-0.26
9.28,0.19,2.4,-0.23,-0.52,-0.36
8.47,-0.29,1.57,-0.95,-0.18,-0.29
7.51,-0.52,1.37,-1.7,0.02,-0.56
8.02,3.73,1.93,-2.17,0.66,-0.07
9.24,-0.06,5.55,-1.85,1.67,0.55
10.78,0.76,3.9,-1.43,0.32,1.04
3.98,0.89,3.17,-0.48,1.93,1.31
8.11,-10.58,28.87,-1.39,3.76,2.11
33.4,-9.19,7.29,4.37,2.09,0.01
1.64,-1.02,1.68,-0.25,3.41,3.37
9.61,-11.18,6.04,-0.49,2.49,1.85
12.06,4.07,5.25,-0.26,2.48,1.96
-2.26,-6.71,11.04,-0.29,2.94,2.25
-4.47,-5.95,12.23,-1.75,1.15,0.16
1.78,-2.81,7.07,-2.56,0.75,0.51
-1.06,-9.33,6.63,-2.16,-1.07,-0.45
3.62,-8.47,6.21,-2.31,-0.35,-0.85
-1.61,-14.88,5.04,-3.36,-0.71,-0.89
-0.25,-31.28,24.62,-4.37,1.79,0.96
1.89,-0.24,-8.66,1.4,0.26,-0.72
4.45,-7.76,5.84,0.07,-1.41,-0.56
-5.79,-9.06,2.63,-1.43,-0.44,0.72
2.08,-9.42,1.32,-0.47,-0.01,1.53
1.36,-12.13,2.75,-0.9,-0.98,1.0
-3.87,-11.56,2.21,0.04,-0.99,-0.59
-1.08,-7.58,-0.38,-0.63,-0.3,0.33
0.61,-10.13,0.44,-0.98,0.01,0.28
2.08,-10.13,2.42,-0.06,-0.51,0.11
0.3,-9.88,2.37,-0.06,-0.62,0.16
0.5,-10.17,1.76,-0.18,-0.4,0.07
0.44,-9.56,1.27,-0.1,-0.13,0.02
1.0,-9.59,1.41,0.02,-0.1,0.06
0.84,-10.26,2.65,-0.06,-0.41,0.12
-0.6,-10.24,1.92,0.01,-0.17,0.01
1.0,-9.67,1.93,-0.05,-0.06,0.06
0.45,-9.93,2.04,-0.04,-0.09,0.03
0.4,-10.0,1.99,-0.09,-0.03,0.08
0.2,-10.32,2.51,-0.05,-0.0,0.04
0.57,-11.28,3.29,0.09,0.01,-0.06
0.73,-9.05,1.92,-0.39,0.08,-0.19
-0.02,-9.34,2.11,-0.19,-0.07,-0.01
0.37,-9.69,1.77,-0.44,0.23,0.07
0.71,-9.87,1.48,-0.14,0.01,0.12
0.46,-9.81,1.36,0.28,-0.27,-0.02
-0.77,-10.38,2.58,0.16,-0.43,-0.18
-0.1,-9.24,2.49,0.15,-0.1,-0.26
