Accelerometer: x-axis (g),Accelerometer: y-axis (g),Accelerometer: z-axis (g),Gyroscope: x-axis (rad/s),Gyroscope: y-axis (rad/s),Gyroscope: z-axis (rad/s)
9.89,-2.63,3.62,-0.1,-0.02,-0.01
9.86,-2.63,3.6,-0.1,-0.02,-0.01
9.88,-2.63,3.54,-0.1,-0.01,-0.01
9.84,-2.61,3.6,-0.1,-0.01,-0.01
9.86,-2.69,3.6,-0.1,-0.0,-0.01
9.86,-2.66,3.63,-0.12,-0.01,-0.01
9.9,-2.59,3.63,-0.12,-0.01,-0.02
9.85,-2.63,3.62,-0.13,-0.01,-0.01
9.89,-2.59,3.57,-0.12,-0.01,-0.01
9.86,-2.59,3.59,-0.12,-0.02,-0.01
9.86,-2.57,3.65,-0.11,-0.01,-0.01
9.89,-2.63,3.57,-0.11,-0.01,-0.01
9.85,-2.63,3.57,-0.11,-0.01,-0.01
9.89,-2.62,3.54,-0.12,-0.01,-0.02
9.86,-2.59,3.57,-0.13,-0.01,-0.01
9.89,-2.61,3.56,-0.12,-0.01,-0.01
9.87,-2.61,3.55,-0.12,-0.01,-0.01
9.87,-2.64,3.56,-0.12,-0.01,-0.01
9.9,-2.62,3.52,-0.13,-0.0,-0.02
9.83,-2.6,3.55,-0.12,-0.01,-0.01
9.9,-2.63,3.54,-0.12,-0.01,-0.01
9.88,-2.6,3.57,-0.11,0.01,-0.01
9.87,-2.67,3.56,-0.11,-0.01,-0.01
9.82,-2.64,3.58,-0.12,0.01,-0.01
9.61,-2.77,3.84,-0.13,0.09,-0.01
9.95,-2.57,3.68,-0.09,0.11,-0.04
10.0,-3.07,3.38,-0.11,0.08,-0.06
10.17,-2.91,3.0,-0.19,-0.01,-0.01
9.88,-3.13,3.37,-0.21,0.03,0.07
9.72,-2.87,3.38,-0.11,0.16,0.08
9.39,-3.23,3.29,-0.09,0.28,0.06
9.5,-3.04,3.3,-0.15,0.31,-0.01
9.64,-3.34,3.49,-0.23,0.32,-0.05
9.82,-2.89,3.18,-0.26,0.33,-0.02
9.66,-3.17,3.24,-0.24,0.31,-0.06
9.22,-3.04,2.94,-0.29,0.29,-0.17
9.5,-3.44,2.86,-0.34,0.24,-0.38
11.17,-4.3,6.09,-0.45,0.15,-0.18
9.39,-1.46,3.47,-0.52,-0.13,0.19
10.28,-4.72,5.01,-0.08,0.4,-0.28
10.04,-1.88,3.72,-0.07,0.14,-0.26
9.12,-2.04,3.67,-0.27,0.08,-0.45
8.43,-1.47,3.6,-0.17,0.27,-0.35
9.35,-1.0,3.82,0.11,0.07,-0.22
10.35,-2.19,3.51,0.02,-0.11,0.0
10.18,-2.32,2.79,-0.08,-0.06,0.13
10.92,-3.55,2.35,-0.16,0.15,0.12
12.42,-4.47,2.72,-0.22,-0.05,0.03
10.69,-2.31,5.09,-0.39,-0.69,0.09
10.52,-1.25,3.71,-0.13,-0.35,-0.06
8.68,-0.94,8.64,-0.37,0.42,-0.47
11.55,-2.63,5.68,-0.27,-0.1,-0.03
8.73,-0.37,2.93,0.05,0.03,0.45
7.09,-4.15,2.84,-0.17,0.13,0.58
7.49,-2.51,3.2,-0.44,0.07,0.25
7.36,-1.94,2.92,-0.19,-0.11,0.18
9.53,-3.83,2.93,-0.13,-0.03,-0.1
13.1,-3.56,3.73,0.1,-0.58,0.08
12.22,-6.7,1.25,-0.44,-0.64,0.24
12.88,-4.53,8.29,-0.23,0.24,0.45
6.28,0.29,9.04,0.04,-0.15,0.24
10.74,-3.48,4.75,0.99,0.21,0.45
9.57,-4.56,4.48,0.26,0.16,-0.33
6.66,-0.99,3.0,0.33,0.31,-0.43
6.56,-0.38,3.14,0.24,0.48,-0.31
7.23,-2.26,3.54,-0.03,0.56,-0.14
9.08,-2.35,3.27,-0.27,0.47,0.05
10.96,-1.61,2.92,-0.14,-0.11,0.27
11.13,-5.69,2.63,-0.53,-0.29,-0.14
8.38,-3.41,2.3,-0.3,0.64,-0.44
14.86,-0.4,4.63,0.68,1.25,-0.27
4.92,2.0,9.37,0.68,0.36,-0.14
9.43,-2.92,7.36,1.16,1.53,-0.72
13.95,1.79,9.55,1.46,1.59,0.24
15.33,-4.4,8.0,2.09,1.71,0.47
6.74,-0.52,4.52,1.94,1.73,1.4
3.39,-3.07,0.87,1.07,0.73,0.29
-0.33,-4.46,-0.72,-0.17,-0.06,0.68
4.12,4.38,2.51,0.99,0.74,1.43
0.26,1.05,6.58,2.15,-2.34,1.42
1.51,-2.11,11.16,-1.28,-0.55,2.79
13.75,3.6,13.25,1.56,-1.74,-0.57
2.08,-0.51,2.42,1.66,2.34,-0.84
12.71,-2.11,7.38,2.75,-0.67,-0.69
9.55,1.0,9.26,2.49,-1.14,0.01
4.83,7.52,2.65,2.11,-0.99,2.55
11.18,5.85,7.05,1.61,-1.63,2.74
6.34,1.04,-2.64,1.15,-1.68,1.58
12.22,13.14,11.89,1.79,-1.79,0.88
18.49,6.22,16.24,2.17,-4.37,0.8
-3.42,6.45,3.68,-1.29,-2.65,-3.73
7.38,1.31,-0.3,1.04,1.44,-2.39
9.41,3.46,-5.01,0.22,-2.51,-2.29
8.75,2.2,-6.92,0.17,-1.44,-2.12
7.43,8.74,-2.0,-0.18,-0.38,-0.78
3.1,7.86,-1.86,-0.44,-0.57,-0.71
7.24,8.29,-3.17,0.14,-0.08,-0.95
4.89,7.09,-0.74,0.13,0.02,-0.95
6.01,7.96,-2.21,-0.01,-0.32,-0.7
6.25,7.68,-2.66,0.2,-0.22,-0.47
5.44,7.78,-3.03,0.12,-0.06,-0.43
6.04,7.99,-2.5,0.13,-0.01,-0.11
6.22,7.63,-2.14,0.07,0.06,-0.09
5.66,7.06,-2.84,0.07,0.05,-0.02
6.56,7.26,-3.17,-0.06,-0.01,0.01
5.96,6.48,-3.14,-0.19,0.2,0.07
6.06,7.03,-2.93,-0.17,0.01,0.02
6.14,6.63,-2.43,-0.23,0.18,0.01
6.22,7.33,-2.72,-0.24,0.07,0.03
6.31,7.26,-2.32,-0.2,0.13,0.06
6.1,6.98,-2.5,-0.12,0.07,0.02
6.59,7.22,-2.3,0.02,-0.02,0.02
6.2,6.82,-2.77,-0.08,0.04,-0.02
6.63,7.07,-2.66,-0.01,-0.08,0.0
6.41,6.89,-2.63,-0.09,-0.01,0.05
6.08,7.18,-2.92,-0.05,-0.12,0.07
6.73,6.75,-2.54,-0.22,0.04,0.04
5.82,7.19,-3.22,-0.23,-0.03,0.07
6.48,6.91,-2.66,-0.19,0.03,0.05
6.02,7.15,-2.87,-0.23,0.03,0.04
6.79,7.03,-2.25,-0.17,0.04,0.03
6.19,6.99,-2.49,-0.21,0.03,0.07
6.65,7.01,-2.36,-0.21,0.0,0.08
6.31,6.89,-2.69,-0.22,0.04,0.04
6.65,7.1,-2.37,-0.16,-0.03,0.03
6.46,6.85,-2.61,-0.2,0.06,0.01
6.59,7.08,-2.27,-0.16,0.01,0.01
6.47,6.93,-2.4,-0.18,0.08,-0.02
6.57,7.11,-2.4,-0.13,0.03,-0.02
6.67,7.0,-2.16,-0.12,0.1,-0.02
6.42,7.06,-2.55,-0.19,0.05,-0.0
6.75,6.98,-2.13,-0.17,0.07,0.01
6.56,6.98,-2.23,-0.19,0.09,0.02
6.72,7.07,-2.02,-0.16,0.04,0.02
6.73,7.06,-1.95,-0.18,0.08,0.05
