Accelerometer: x-axis (g),Accelerometer: y-axis (g),Accelerometer: z-axis (g),Gyroscope: x-axis (rad/s),Gyroscope: y-axis (rad/s),Gyroscope: z-axis (rad/s)
11.23,-2.88,0.25,0.16,-0.5,-0.18
13.44,-3.63,-1.08,0.22,-1.09,-0.53
8.4,-1.9,5.87,-0.54,0.02,-0.3
11.94,-4.99,2.45,-0.49,0.35,-0.22
10.1,-0.16,0.21,-0.5,-0.26,0.39
7.68,-2.63,0.44,-0.01,0.14,0.52
7.57,-3.76,0.4,-0.09,0.35,0.34
8.78,-3.28,0.31,-0.26,-0.05,0.19
9.03,-3.82,0.68,0.0,0.24,0.27
10.97,-4.21,0.66,-0.2,0.05,-0.01
12.27,-6.7,-1.21,-0.24,0.32,0.07
11.16,-2.36,2.58,0.24,-0.25,0.17
7.55,-2.33,5.17,0.77,0.68,0.06
7.94,-1.06,1.96,0.93,0.8,0.17
10.38,-4.79,0.99,0.73,0.65,-0.13
8.15,-1.8,1.25,0.74,0.31,-0.44
8.22,0.06,0.66,1.28,1.07,-0.95
10.0,-3.36,1.53,0.63,0.14,-0.25
10.92,-2.97,4.8,-0.32,1.13,0.09
13.38,-6.44,5.42,-0.18,0.7,0.64
19.42,-2.61,1.96,1.18,1.75,0.51
12.62,-8.48,5.67,0.75,0.81,0.13
3.43,3.13,3.65,0.63,0.08,0.03
0.4,-0.51,1.36,0.89,0.26,-0.29
1.46,-2.82,4.0,0.9,0.61,-0.05
4.54,-2.49,2.67,0.48,0.69,0.18
2.46,3.52,4.24,-0.32,-1.76,0.12
1.71,-1.49,16.68,0.7,1.8,1.09
10.98,7.98,10.12,-1.73,0.01,0.18
7.91,-7.43,3.03,-0.29,1.96,-0.12
8.74,1.28,10.13,1.23,-0.2,-0.86
7.59,0.32,13.03,3.32,-2.05,-0.86
6.22,-1.56,12.22,4.3,-1.51,0.63
10.65,5.52,5.51,3.68,-1.8,1.45
10.17,5.64,5.49,1.17,-1.21,1.15
4.9,3.15,8.53,2.46,-2.01,-1.42
15.83,6.61,5.69,3.02,-1.51,-2.68
14.46,10.74,8.95,2.91,-1.44,-1.8
3.21,2.56,-2.45,1.22,-0.56,-3.34
10.41,11.29,-0.52,0.36,-0.3,-1.62
1.82,13.49,-4.62,0.61,-0.35,-0.38
3.03,8.09,-2.75,1.1,-0.05,-0.88
1.53,8.55,-4.68,1.45,-0.38,-1.14
2.91,9.3,-3.84,1.34,-0.9,-0.8
2.58,7.42,-4.11,0.9,-0.39,-0.35
3.46,7.98,-3.85,0.71,-0.48,-0.24
3.56,7.75,-3.85,0.59,-0.15,-0.12
4.58,7.26,-4.3,0.32,-0.3,0.03
4.22,6.99,-4.23,0.12,-0.19,0.06
4.04,7.53,-4.59,-0.04,-0.08,0.1
3.96,6.99,-4.58,-0.06,0.07,0.16
3.4,7.65,-4.45,-0.21,0.12,0.18
4.61,7.19,-4.39,-0.12,0.22,0.14
3.86,7.15,-4.29,-0.4,0.11,0.12
4.04,7.78,-3.82,-0.41,0.05,0.23
5.45,7.53,-2.8,-0.13,-0.0,-0.01
5.54,7.62,-2.81,-0.15,-0.03,-0.01
5.42,7.68,-2.71,-0.13,-0.03,-0.0
5.32,7.6,-2.91,-0.12,-0.01,-0.01
5.43,7.63,-2.74,-0.12,-0.01,-0.02
5.35,7.63,-2.69,-0.11,-0.01,-0.0
5.56,7.51,-2.82,-0.05,0.03,-0.04
5.71,7.56,-2.72,-0.06,-0.07,-0.03
5.39,7.58,-2.89,-0.06,-0.05,-0.05
5.23,7.38,-3.32,-0.08,-0.01,-0.03
5.27,7.9,-2.89,-0.09,0.06,-0.04
5.35,7.18,-2.95,-0.13,0.04,-0.04
5.32,7.74,-3.02,-0.18,0.12,-0.0
5.36,7.46,-2.74,-0.27,0.07,0.01
