Accelerometer: x-axis (g),Accelerometer: y-axis (g),Accelerometer: z-axis (g),Gyroscope: x-axis (rad/s),Gyroscope: y-axis (rad/s),Gyroscope: z-axis (rad/s)
2.91,-0.45,-8.95,-0.12,-0.0,-0.01
2.94,-0.43,-8.92,-0.12,-0.0,-0.01
2.92,-0.44,-8.98,-0.12,-0.0,-0.01
2.92,-0.44,-8.95,-0.12,-0.0,-0.01
2.92,-0.45,-8.94,-0.12,-0.0,-0.01
2.92,-0.43,-8.94,-0.12,-0.0,-0.01
2.94,-0.45,-8.95,-0.12,-0.0,-0.01
2.91,-0.44,-8.96,-0.12,-0.0,-0.01
2.92,-0.44,-8.96,-0.12,-0.0,-0.01
2.92,-0.45,-8.93,-0.12,-0.0,-0.01
2.91,-0.45,-8.94,-0.12,-0.01,-0.01
2.93,-0.45,-8.93,-0.12,-0.0,-0.01
2.93,-0.45,-8.95,-0.12,-0.0,-0.01
2.93,-0.44,-8.94,-0.12,-0.0,-0.01
2.92,-0.45,-8.95,-0.12,-0.0,-0.01
2.96,-0.45,-8.93,-0.12,-0.0,-0.01
2.92,-0.44,-8.94,-0.12,-0.0,-0.01
2.92,-0.45,-8.91,-0.12,-0.0,-0.01
2.9,-0.42,-8.92,-0.12,-0.0,-0.01
2.93,-0.44,-8.94,-0.12,-0.0,-0.01
2.91,-0.44,-8.95,-0.12,-0.0,-0.01
2.93,-0.44,-8.95,-0.12,-0.0,-0.01
2.92,-0.44,-8.91,-0.12,-0.0,-0.01
2.93,-0.44,-8.93,-0.12,-0.0,-0.01
2.93,-0.45,-8.94,-0.12,-0.0,-0.01
2.93,-0.45,-8.95,-0.12,-0.0,-0.01
2.91,-0.46,-8.92,-0.12,-0.0,-0.01
2.91,-0.46,-8.94,-0.12,-0.0,-0.01
2.92,-0.44,-8.94,-0.12,-0.0,-0.01
2.93,-0.44,-8.91,-0.12,-0.0,-0.01
2.93,-0.43,-8.92,-0.12,-0.0,-0.01
2.91,-0.43,-8.93,-0.12,-0.0,-0.01
2.92,-0.45,-8.95,-0.12,-0.0,-0.01
2.92,-0.45,-8.92,-0.12,-0.01,-0.01
2.91,-0.44,-8.92,-0.12,-0.01,-0.01
2.93,-0.44,-8.94,-0.12,-0.0,-0.01
2.93,-0.46,-8.94,-0.12,-0.0,-0.01
2.91,-0.44,-8.92,-0.12,-0.0,-0.01
2.93,-0.46,-8.97,-0.12,-0.0,-0.01
2.92,-0.45,-8.93,-0.12,-0.0,-0.01
2.92,-0.45,-8.95,-0.12,-0.0,-0.01
2.93,-0.44,-8.94,-0.12,-0.0,-0.01
2.91,-0.45,-8.92,-0.12,-0.0,-0.01
2.91,-0.44,-8.95,-0.12,-0.0,-0.01
2.92,-0.45,-8.93,-0.12,-0.0,-0.01
2.91,-0.44,-8.97,-0.12,-0.01,-0.01
2.92,-0.46,-8.94,-0.12,-0.0,-0.01
2.94,-0.44,-8.94,-0.12,-0.0,-0.01
2.91,-0.43,-8.96,-0.12,-0.0,-0.01
2.92,-0.45,-8.94,-0.12,-0.0,-0.01
2.93,-0.45,-8.93,-0.12,-0.01,-0.01
2.92,-0.44,-8.94,-0.12,-0.01,-0.01
2.93,-0.45,-8.93,-0.12,-0.0,-0.01
2.93,-0.43,-8.95,-0.12,-0.0,-0.01
2.92,-0.45,-8.91,-0.12,-0.0,-0.01
2.93,-0.44,-8.94,-0.12,-0.0,-0.01
2.92,-0.43,-8.94,-0.12,-0.0,-0.01
2.91,-0.44,-8.95,-0.12,-0.0,-0.01
2.93,-0.43,-8.95,-0.12,-0.0,-0.01
2.93,-0.42,-8.94,-0.12,-0.0,-0.01
2.91,-0.44,-8.94,-0.12,-0.01,-0.01
2.92,-0.45,-8.94,-0.12,-0.0,-0.01
2.92,-0.44,-8.95,-0.12,-0.0,-0.01
2.9,-0.45,-8.96,-0.12,-0.0,-0.01
2.92,-0.45,-8.92,-0.12,-0.0,-0.01
2.94,-0.42,-8.94,-0.12,-0.0,-0.01
2.94,-0.44,-8.92,-0.12,-0.0,-0.01
2.93,-0.45,-8.94,-0.12,-0.01,-0.01
2.94,-0.45,-8.93,-0.12,-0.01,-0.01
2.94,-0.46,-8.95,-0.12,-0.0,-0.01
2.9,-0.45,-8.91,-0.12,-0.0,-0.01
2.93,-0.43,-8.93,-0.12,-0.0,-0.01
2.93,-0.45,-8.96,-0.12,-0.0,-0.01
2.93,-0.45,-8.94,-0.12,-0.0,-0.01
2.89,-0.44,-8.91,-0.12,-0.0,-0.01
2.91,-0.45,-8.9,-0.12,-0.0,-0.01
2.94,-0.44,-8.95,-0.12,-0.0,-0.01
2.92,-0.45,-8.95,-0.12,-0.0,-0.01
2.91,-0.42,-8.94,-0.12,-0.0,-0.01
2.91,-0.42,-8.94,-0.12,-0.0,-0.01
2.92,-0.43,-8.92,-0.12,-0.0,-0.01
2.89,-0.44,-8.89,-0.12,-0.0,-0.01
2.94,-0.43,-8.93,-0.12,-0.0,-0.01
2.95,-0.45,-8.91,-0.12,-0.0,-0.01
2.93,-0.45,-8.95,-0.12,-0.0,-0.01
2.92,-0.46,-8.94,-0.12,-0.0,-0.01
2.94,-0.42,-8.95,-0.12,-0.0,-0.01
2.92,-0.45,-8.95,-0.12,-0.0,-0.01
2.92,-0.44,-8.93,-0.12,-0.0,-0.01
2.91,-0.44,-8.93,-0.12,-0.0,-0.01
2.9,-0.45,-8.96,-0.12,-0.0,-0.01
2.94,-0.44,-8.94,-0.12,-0.0,-0.01
2.94,-0.45,-8.94,-0.12,-0.0,-0.01
2.93,-0.44,-8.94,-0.12,-0.01,-0.01
2.91,-0.44,-8.94,-0.12,-0.01,-0.01
2.93,-0.45,-8.92,-0.12,-0.0,-0.01
2.93,-0.44,-8.94,-0.12,-0.0,-0.01
2.93,-0.45,-8.95,-0.12,-0.0,-0.01
2.91,-0.45,-8.93,-0.12,-0.0,-0.01
2.93,-0.45,-8.92,-0.12,-0.0,-0.01
2.94,-0.43,-8.92,-0.12,-0.0,-0.01
2.95,-0.45,-8.97,-0.12,-0.0,-0.01
2.91,-0.44,-8.97,-0.12,-0.0,-0.01
2.91,-0.44,-8.94,-0.12,-0.0,-0.01
2.91,-0.44,-8.94,-0.12,-0.01,-0.01
2.92,-0.45,-8.91,-0.12,-0.0,-0.01
2.93,-0.43,-8.93,-0.12,-0.0,-0.01
2.92,-0.45,-8.92,-0.12,-0.0,-0.01
2.93,-0.45,-8.94,-0.12,-0.0,-0.01
2.92,-0.44,-8.93,-0.12,-0.0,-0.01
2.91,-0.45,-8.95,-0.12,-0.0,-0.01
2.93,-0.44,-8.96,-0.12,-0.0,-0.01
2.9,-0.44,-8.93,-0.12,-0.0,-0.01
2.9,-0.45,-8.95,-0.12,-0.0,-0.01
2.93,-0.45,-8.96,-0.12,-0.0,-0.01
2.93,-0.43,-8.97,-0.12,-0.0,-0.01
2.93,-0.43,-8.95,-0.12,-0.01,-0.01
2.95,-0.45,-8.94,-0.12,-0.0,-0.01
2.91,-0.45,-8.94,-0.12,-0.0,-0.01
2.89,-0.45,-8.94,-0.12,-0.0,-0.01
2.92,-0.44,-8.96,-0.12,-0.0,-0.01
2.93,-0.45,-8.94,-0.12,-0.01,-0.01
2.91,-0.42,-8.92,-0.12,-0.0,-0.01
2.92,-0.43,-8.95,-0.12,-0.0,-0.01
2.94,-0.44,-8.93,-0.12,-0.0,-0.01
2.91,-0.44,-8.93,-0.12,-0.0,-0.01
2.94,-0.44,-8.94,-0.12,-0.0,-0.01
2.91,-0.45,-8.94,-0.12,-0.0,-0.01
2.91,-0.44,-8.97,-0.12,-0.01,-0.01
2.94,-0.44,-8.94,-0.12,-0.01,-0.01
2.92,-0.42,-8.92,-0.12,-0.0,-0.01
2.93,-0.45,-8.95,-0.12,-0.0,-0.01
2.91,-0.44,-8.94,-0.12,-0.0,-0.01
2.92,-0.44,-8.95,-0.12,-0.0,-0.01
2.93,-0.46,-8.94,-0.12,-0.0,-0.01
2.92,-0.43,-8.94,-0.12,-0.0,-0.01
2.93,-0.45,-8.92,-0.12,-0.0,-0.01
2.91,-0.45,-8.94,-0.12,-0.0,-0.01
2.91,-0.45,-8.94,-0.12,-0.0,-0.01
2.89,-0.44,-8.94,-0.12,-0.0,-0.01
2.93,-0.46,-8.95,-0.12,-0.0,-0.01
2.9,-0.44,-8.92,-0.12,-0.01,-0.01
2.94,-0.43,-8.91,-0.12,-0.0,-0.01
2.91,-0.45,-8.94,-0.12,-0.0,-0.01
2.9,-0.44,-8.95,-0.12,-0.01,-0.01
2.93,-0.45,-8.94,-0.12,-0.0,-0.01
2.92,-0.44,-8.95,-0.12,-0.0,-0.01
2.9,-0.43,-8.96,-0.12,-0.0,-0.01
2.92,-0.43,-8.94,-0.12,-0.0,-0.01
2.93,-0.44,-8.93,-0.12,-0.0,-0.01
2.9,-0.44,-8.93,-0.12,-0.0,-0.01
2.92,-0.44,-8.93,-0.12,-0.0,-0.01
2.91,-0.46,-8.94,-0.12,-0.0,-0.01
2.93,-0.43,-8.94,-0.12,-0.0,-0.01
2.91,-0.46,-8.97,-0.12,-0.0,-0.01
2.9,-0.45,-8.95,-0.12,-0.0,-0.01
2.89,-0.45,-8.93,-0.12,-0.0,-0.01
2.92,-0.45,-8.93,-0.12,-0.0,-0.01
2.94,-0.44,-8.94,-0.12,-0.0,-0.01
2.91,-0.43,-8.94,-0.12,-0.0,-0.01
2.92,-0.45,-8.95,-0.12,-0.0,-0.01
2.93,-0.45,-8.92,-0.12,-0.0,-0.01
2.92,-0.44,-8.93,-0.12,-0.0,-0.01
2.93,-0.42,-8.93,-0.12,-0.0,-0.01
2.94,-0.45,-8.93,-0.12,-0.0,-0.01
2.95,-0.44,-8.93,-0.12,-0.0,-0.01
2.91,-0.43,-8.94,-0.12,-0.0,-0.01
2.9,-0.44,-8.94,-0.12,-0.0,-0.01
2.91,-0.45,-8.93,-0.12,-0.01,-0.01
2.93,-0.45,-8.94,-0.12,-0.0,-0.01
2.88,-0.43,-8.94,-0.12,-0.01,-0.01
2.91,-0.45,-8.92,-0.12,-0.0,-0.01
2.91,-0.42,-8.94,-0.12,-0.0,-0.01
2.92,-0.43,-8.91,-0.12,-0.0,-0.01
2.93,-0.45,-8.92,-0.12,-0.01,-0.01
2.89,-0.46,-8.95,-0.12,-0.01,-0.01
2.91,-0.43,-8.94,-0.12,-0.0,-0.01
2.93,-0.45,-8.94,-0.12,-0.01,-0.01
2.93,-0.44,-8.94,-0.12,-0.0,-0.01
2.9,-0.45,-8.94,-0.12,-0.0,-0.01
2.92,-0.46,-8.94,-0.12,-0.0,-0.01
2.91,-0.43,-8.94,-0.12,-0.0,-0.01
2.9,-0.47,-8.95,-0.12,-0.0,-0.01
2.94,-0.43,-8.93,-0.12,-0.0,-0.01
2.9,-0.46,-8.95,-0.12,-0.0,-0.01
2.93,-0.43,-8.95,-0.12,-0.0,-0.01
2.91,-0.44,-8.93,-0.12,-0.0,-0.01
2.91,-0.46,-8.94,-0.12,-0.0,-0.01
2.91,-0.44,-8.94,-0.12,-0.0,-0.01
2.93,-0.44,-8.94,-0.12,-0.0,-0.01
2.94,-0.44,-8.91,-0.12,-0.01,-0.01
2.94,-0.45,-8.95,-0.12,-0.0,-0.01
2.92,-0.43,-8.94,-0.12,-0.0,-0.01
2.91,-0.44,-8.91,-0.12,-0.0,-0.01
2.91,-0.46,-8.93,-0.12,-0.0,-0.01
2.93,-0.44,-8.95,-0.12,-0.0,-0.01
2.92,-0.44,-8.97,-0.12,-0.0,-0.01
2.92,-0.46,-8.91,-0.12,-0.0,-0.01
2.91,-0.43,-8.93,-0.12,-0.0,-0.01
2.93,-0.42,-8.94,-0.12,-0.0,-0.01
2.93,-0.44,-8.93,-0.12,-0.0,-0.01
2.93,-0.45,-8.96,-0.12,-0.0,-0.01
2.91,-0.45,-8.94,-0.12,-0.01,-0.01
2.93,-0.45,-8.96,-0.12,-0.0,-0.01
2.92,-0.43,-8.96,-0.12,-0.01,-0.01
2.93,-0.41,-8.95,-0.12,-0.0,-0.01
2.9,-0.45,-8.98,-0.12,-0.01,-0.01
2.94,-0.44,-8.9,-0.12,-0.0,-0.01
2.94,-0.44,-8.91,-0.12,-0.0,-0.01
2.9,-0.46,-8.94,-0.12,-0.0,-0.01
2.94,-0.44,-8.93,-0.12,-0.0,-0.01
2.94,-0.43,-8.97,-0.12,-0.01,-0.01
2.9,-0.45,-8.92,-0.12,-0.0,-0.01
2.92,-0.44,-8.93,-0.12,-0.0,-0.01
2.93,-0.42,-8.92,-0.12,-0.0,-0.01
2.91,-0.43,-8.95,-0.12,-0.0,-0.01
2.91,-0.45,-8.94,-0.12,-0.01,-0.01
2.92,-0.44,-8.95,-0.12,-0.0,-0.01
2.95,-0.45,-8.95,-0.12,-0.0,-0.01
2.92,-0.45,-8.94,-0.12,-0.0,-0.01
2.9,-0.44,-8.95,-0.12,-0.0,-0.01
2.9,-0.45,-8.95,-0.12,-0.01,-0.01
2.94,-0.45,-8.94,-0.12,-0.0,-0.01
2.93,-0.45,-8.96,-0.12,-0.0,-0.01
2.93,-0.42,-8.95,-0.12,-0.0,-0.01
2.9,-0.44,-8.95,-0.12,-0.0,-0.01
2.9,-0.44,-8.94,-0.12,-0.01,-0.01
2.91,-0.46,-8.94,-0.12,-0.0,-0.01
2.92,-0.44,-8.95,-0.12,-0.0,-0.01
2.9,-0.45,-8.95,-0.12,-0.0,-0.01
2.91,-0.45,-8.94,-0.12,-0.0,-0.01
2.9,-0.44,-8.96,-0.12,-0.0,-0.01
2.93,-0.44,-8.91,-0.12,-0.0,-0.01
2.92,-0.44,-8.95,-0.12,-0.0,-0.01
2.94,-0.44,-8.95,-0.12,-0.01,-0.01
2.92,-0.47,-8.94,-0.12,-0.0,-0.01
2.92,-0.45,-8.92,-0.12,-0.01,-0.01
2.92,-0.44,-8.94,-0.12,-0.0,-0.01
2.93,-0.46,-8.95,-0.12,-0.0,-0.01
2.93,-0.42,-8.91,-0.12,-0.0,-0.01
2.94,-0.45,-8.98,-0.12,-0.0,-0.01
2.92,-0.43,-8.95,-0.12,-0.0,-0.01
2.91,-0.45,-8.97,-0.12,-0.01,-0.01
2.91,-0.45,-8.93,-0.12,-0.0,-0.01
2.94,-0.44,-8.92,-0.12,-0.0,-0.01
2.91,-0.43,-8.97,-0.12,-0.0,-0.01
2.91,-0.43,-8.94,-0.12,-0.0,-0.01
2.93,-0.45,-8.96,-0.12,-0.0,-0.01
2.93,-0.45,-8.94,-0.12,-0.0,-0.01
2.93,-0.46,-8.95,-0.12,-0.0,-0.01
2.91,-0.46,-8.95,-0.12,-0.0,-0.01
2.93,-0.47,-8.95,-0.12,-0.0,-0.01
2.94,-0.45,-8.94,-0.12,-0.0,-0.01
2.91,-0.45,-8.94,-0.12,-0.0,-0.01
2.93,-0.45,-8.95,-0.12,-0.0,-0.01
2.94,-0.44,-8.96,-0.12,-0.0,-0.01
2.91,-0.46,-8.94,-0.12,-0.0,-0.01
2.91,-0.45,-8.91,-0.12,-0.0,-0.01
2.92,-0.44,-8.9,-0.12,-0.0,-0.01
2.9,-0.44,-8.95,-0.12,-0.0,-0.01
2.91,-0.44,-8.95,-0.12,-0.0,-0.01
2.93,-0.45,-8.93,-0.12,-0.0,-0.01
2.91,-0.45,-8.95,-0.12,-0.0,-0.01
2.93,-0.45,-8.94,-0.12,-0.0,-0.01
2.93,-0.44,-8.94,-0.12,-0.0,-0.01
2.92,-0.45,-8.93,-0.12,-0.0,-0.01
2.94,-0.43,-8.96,-0.12,-0.0,-0.01
2.92,-0.43,-8.94,-0.12,-0.0,-0.01
2.92,-0.45,-8.94,-0.12,-0.0,-0.01
2.92,-0.43,-8.93,-0.12,-0.0,-0.01
2.94,-0.44,-8.95,-0.12,-0.0,-0.01
2.92,-0.44,-8.92,-0.12,-0.01,-0.01
2.94,-0.46,-8.95,-0.12,-0.0,-0.01
2.93,-0.44,-8.94,-0.12,-0.0,-0.01
2.93,-0.44,-8.93,-0.12,-0.0,-0.01
2.95,-0.42,-8.94,-0.12,-0.0,-0.01
2.93,-0.45,-8.92,-0.12,-0.0,-0.01
2.91,-0.46,-8.96,-0.12,-0.0,-0.01
2.92,-0.46,-8.94,-0.12,-0.0,-0.01
2.91,-0.44,-8.92,-0.12,-0.0,-0.01
2.92,-0.45,-8.9,-0.12,-0.0,-0.01
2.92,-0.44,-8.95,-0.12,-0.0,-0.01
2.93,-0.45,-8.94,-0.12,-0.0,-0.01
2.94,-0.45,-8.94,-0.12,-0.0,-0.01
2.91,-0.45,-8.95,-0.12,-0.01,-0.01
2.91,-0.45,-8.94,-0.12,-0.0,-0.01
2.91,-0.45,-8.96,-0.12,-0.0,-0.01
2.92,-0.44,-8.94,-0.12,-0.0,-0.01
2.92,-0.43,-8.95,-0.12,-0.01,-0.01
2.92,-0.45,-8.93,-0.12,-0.0,-0.01
2.93,-0.43,-8.92,-0.12,-0.0,-0.01
2.92,-0.43,-8.95,-0.12,-0.0,-0.01
2.91,-0.44,-8.94,-0.12,-0.0,-0.01
2.93,-0.44,-8.94,-0.12,-0.0,-0.01
2.91,-0.46,-8.94,-0.12,-0.0,-0.01
2.94,-0.46,-8.94,-0.12,-0.0,-0.01
2.92,-0.44,-8.94,-0.12,-0.0,-0.01
2.91,-0.46,-8.94,-0.12,-0.0,-0.01
2.9,-0.44,-8.93,-0.12,-0.0,-0.01
2.92,-0.45,-8.95,-0.12,-0.0,-0.01
2.89,-0.44,-8.95,-0.12,-0.0,-0.01
2.92,-0.45,-8.95,-0.12,-0.01,-0.01
2.94,-0.45,-8.91,-0.12,-0.0,-0.01
2.92,-0.44,-8.91,-0.12,-0.0,-0.01
2.9,-0.44,-8.97,-0.12,-0.0,-0.01
2.91,-0.44,-8.94,-0.12,-0.0,-0.01
2.91,-0.45,-8.97,-0.12,-0.0,-0.01
2.94,-0.48,-8.94,-0.12,-0.0,-0.01
2.92,-0.43,-8.95,-0.12,-0.0,-0.01
2.91,-0.43,-8.93,-0.12,-0.0,-0.01
2.94,-0.44,-8.98,-0.12,-0.0,-0.01
2.94,-0.43,-8.94,-0.12,-0.0,-0.01
2.9,-0.46,-8.99,-0.12,-0.0,-0.01
2.91,-0.43,-8.95,-0.12,-0.0,-0.01
2.94,-0.43,-8.94,-0.12,-0.0,-0.01
2.93,-0.44,-8.9,-0.12,-0.0,-0.01
2.89,-0.45,-8.95,-0.12,-0.0,-0.01
2.91,-0.45,-8.93,-0.12,-0.0,-0.01
2.91,-0.45,-8.96,-0.12,-0.0,-0.01
2.95,-0.43,-8.95,-0.12,-0.0,-0.01
2.94,-0.44,-8.92,-0.12,-0.0,-0.01
2.92,-0.46,-8.94,-0.12,-0.0,-0.01
2.93,-0.44,-8.94,-0.12,-0.0,-0.01
2.94,-0.44,-8.95,-0.12,-0.0,-0.02
2.91,-0.44,-8.95,-0.12,-0.01,-0.01
2.93,-0.44,-8.97,-0.12,-0.01,-0.01
2.94,-0.43,-8.87,-0.12,-0.01,-0.01
2.91,-0.45,-8.94,-0.12,-0.0,-0.01
2.91,-0.46,-8.93,-0.12,-0.0,-0.01
2.94,-0.44,-8.95,-0.12,-0.0,-0.01
2.92,-0.45,-8.93,-0.12,-0.0,-0.01
2.93,-0.42,-8.95,-0.12,-0.01,-0.01
2.91,-0.42,-8.95,-0.12,-0.0,-0.01
2.92,-0.45,-8.97,-0.12,-0.0,-0.01
2.93,-0.44,-8.94,-0.12,-0.0,-0.01
2.92,-0.46,-8.95,-0.12,-0.0,-0.01
2.92,-0.45,-8.94,-0.12,-0.0,-0.01
2.94,-0.44,-8.98,-0.12,-0.01,-0.01
2.94,-0.45,-8.96,-0.12,-0.0,-0.01
2.93,-0.45,-8.94,-0.12,-0.01,-0.01
2.89,-0.45,-8.93,-0.12,-0.0,-0.01
2.9,-0.44,-8.94,-0.12,-0.0,-0.01
2.93,-0.47,-8.97,-0.12,-0.0,-0.01
2.94,-0.44,-8.93,-0.12,-0.01,-0.01
2.93,-0.43,-8.95,-0.12,-0.0,-0.01
2.92,-0.45,-8.93,-0.12,-0.0,-0.01
2.93,-0.45,-8.95,-0.12,-0.0,-0.01
2.92,-0.45,-8.93,-0.12,-0.0,-0.01
2.93,-0.43,-8.94,-0.12,-0.01,-0.01
2.9,-0.45,-8.94,-0.12,-0.01,-0.01
2.93,-0.44,-8.9,-0.12,-0.0,-0.01
2.93,-0.44,-8.94,-0.12,-0.0,-0.01
2.9,-0.44,-8.92,-0.12,-0.0,-0.01
2.93,-0.45,-8.92,-0.12,-0.0,-0.01
2.92,-0.45,-8.92,-0.12,-0.0,-0.01
2.94,-0.45,-8.94,-0.12,-0.0,-0.01
2.93,-0.45,-8.94,-0.12,-0.01,-0.01
2.92,-0.45,-8.95,-0.12,-0.0,-0.01
2.94,-0.44,-8.92,-0.12,-0.0,-0.01
2.92,-0.44,-8.92,-0.12,-0.0,-0.01
2.92,-0.47,-8.97,-0.12,-0.0,-0.01
2.93,-0.46,-8.95,-0.12,-0.0,-0.01
2.93,-0.45,-8.93,-0.12,-0.01,-0.01
2.92,-0.45,-8.92,-0.12,-0.0,-0.01
2.94,-0.44,-8.95,-0.12,-0.0,-0.01
2.91,-0.44,-8.93,-0.12,-0.0,-0.01
2.9,-0.45,-8.95,-0.12,-0.0,-0.01
2.93,-0.44,-8.93,-0.12,-0.0,-0.01
2.92,-0.44,-8.95,-0.12,-0.01,-0.01
