Accelerometer: x-axis (g),Accelerometer: y-axis (g),Accelerometer: z-axis (g),Gyroscope: x-axis (rad/s),Gyroscope: y-axis (rad/s),Gyroscope: z-axis (rad/s)
9.98,0.49,4.22,-0.11,0.0,-0.01
9.99,0.47,4.12,-0.1,-0.0,-0.01
9.99,0.41,4.11,-0.1,-0.0,-0.02
9.97,0.43,4.2,-0.09,0.01,-0.01
10.03,0.4,4.17,-0.11,0.02,-0.02
10.0,0.48,4.22,-0.11,0.03,-0.01
9.99,0.49,4.13,-0.1,0.0,-0.0
9.96,0.52,4.33,-0.1,0.02,0.01
9.95,0.56,4.37,-0.11,0.03,0.0
9.86,0.61,4.31,-0.1,0.02,-0.01
9.9,0.61,4.35,-0.09,0.02,-0.01
9.89,0.62,4.26,-0.1,0.02,-0.03
9.9,0.64,4.36,-0.07,0.02,-0.05
10.02,0.62,4.25,-0.06,0.02,-0.06
9.98,0.65,4.36,-0.03,0.02,-0.03
9.89,0.59,4.41,-0.04,0.05,-0.03
9.89,0.64,4.42,-0.04,0.04,-0.03
9.9,0.61,4.39,-0.06,0.04,-0.03
9.94,0.67,4.41,-0.06,0.03,-0.02
9.89,0.66,4.42,-0.06,-0.0,-0.01
9.86,0.58,4.45,-0.08,-0.0,-0.01
9.9,0.65,4.42,-0.1,-0.01,-0.01
9.88,0.68,4.44,-0.1,0.0,-0.01
9.95,0.72,4.4,-0.1,-0.01,-0.01
9.86,0.68,4.45,-0.1,0.01,0.01
9.9,0.68,4.45,-0.11,0.01,-0.0
9.87,0.74,4.48,-0.12,0.0,-0.0
9.94,0.69,4.44,-0.12,0.01,-0.01
9.83,0.74,4.42,-0.13,-0.01,-0.01
9.92,0.69,4.43,-0.13,0.0,-0.01
9.89,0.75,4.43,-0.13,0.0,-0.01
9.93,0.72,4.39,-0.13,0.0,-0.0
9.83,0.68,4.44,-0.13,0.0,-0.0
9.96,0.7,4.41,-0.14,-0.01,-0.0
9.84,0.69,4.43,-0.14,-0.01,-0.0
9.89,0.65,4.43,-0.14,0.01,-0.0
9.81,0.64,4.48,-0.15,0.0,-0.0
9.92,0.62,4.42,-0.15,0.0,-0.01
9.9,0.63,4.44,-0.15,-0.01,-0.0
9.96,0.57,4.37,-0.15,-0.01,-0.0
9.87,0.65,4.47,-0.14,-0.0,0.0
9.89,0.61,4.42,-0.14,0.0,0.0
9.88,0.61,4.43,-0.14,-0.0,0.0
9.87,0.56,4.46,-0.14,-0.0,0.0
9.9,0.56,4.45,-0.14,-0.02,-0.0
9.85,0.58,4.41,-0.14,-0.01,-0.01
9.89,0.57,4.4,-0.15,-0.02,-0.01
9.9,0.55,4.4,-0.14,0.01,-0.02
9.96,0.56,4.45,-0.14,-0.0,-0.02
9.87,0.57,4.36,-0.14,0.01,-0.02
9.94,0.56,4.43,-0.14,-0.0,-0.01
9.94,0.59,4.36,-0.14,-0.0,-0.01
9.84,0.57,4.43,-0.14,0.01,-0.0
9.87,0.55,4.47,-0.14,0.0,-0.02
9.86,0.54,4.51,-0.15,0.02,-0.03
9.89,0.53,4.4,-0.14,0.0,-0.03
9.76,0.47,4.21,-0.13,-0.03,-0.04
10.35,0.32,4.01,-0.13,-0.05,-0.08
10.03,0.76,3.79,-0.02,-0.07,-0.12
10.1,0.81,3.56,0.15,-0.04,-0.1
9.76,0.91,3.18,0.32,-0.07,-0.01
9.91,1.25,3.13,0.43,0.11,0.04
10.15,0.89,3.18,0.57,0.01,0.05
9.67,1.09,3.04,0.64,0.11,0.01
9.57,1.16,3.02,0.74,0.18,0.05
9.73,1.05,2.78,0.88,0.03,0.1
8.75,0.98,2.66,1.01,0.19,0.05
9.13,1.02,2.36,1.14,0.3,0.14
7.64,1.31,2.93,1.21,0.29,0.05
8.36,0.5,2.82,1.06,0.76,-0.06
8.49,1.18,3.27,0.95,0.41,0.02
7.38,3.17,4.06,1.44,1.45,-0.04
4.1,1.94,4.79,1.22,2.39,0.47
13.63,1.39,17.25,2.52,-0.28,-0.88
1.07,-4.7,1.65,1.77,-1.86,-0.23
3.55,-0.47,8.56,1.85,2.8,-0.59
7.7,1.54,1.29,1.49,1.23,-0.23
29.13,12.59,29.22,-2.57,4.37,-2.5
21.01,10.85,6.32,3.9,1.1,-4.08
-1.91,-4.9,-2.03,1.07,4.04,-1.81
12.67,-1.15,5.26,0.93,2.59,-2.01
2.6,4.44,2.76,1.29,0.76,-1.78
-0.03,8.03,4.42,2.62,0.1,-1.24
0.68,15.29,1.58,2.54,-1.51,2.41
5.35,19.11,4.82,4.34,0.02,2.36
-0.3,10.32,-0.83,4.37,-1.74,2.73
8.02,21.99,-20.97,3.44,-4.37,-3.29
-3.85,-10.3,-6.27,0.76,-2.66,-1.21
-4.2,23.37,-7.26,2.14,-2.72,0.98
-3.68,-1.48,-4.58,2.83,1.51,-0.81
3.53,8.47,-5.14,2.07,-1.23,0.3
-4.53,1.15,-11.28,2.59,0.2,-0.26
2.44,2.79,-3.12,1.6,0.24,0.72
0.14,3.43,-15.04,2.08,-0.73,0.41
0.76,-1.45,-5.35,1.41,0.3,0.74
0.85,-0.72,-11.48,0.36,0.28,0.21
2.21,1.04,-8.4,0.75,0.3,0.58
1.11,0.39,-9.03,0.29,0.15,0.19
1.84,0.61,-9.57,0.38,0.49,0.01
3.06,0.89,-8.72,0.36,0.24,0.04
2.93,-0.13,-9.15,0.28,0.19,0.01
3.23,-0.22,-8.81,0.34,0.02,0.07
2.24,-0.95,-9.06,0.23,0.17,-0.14
3.54,-0.54,-8.8,0.38,-0.09,0.15
2.35,-1.54,-8.69,0.17,-0.07,0.06
2.37,-0.58,-9.3,-0.0,0.16,0.07
1.75,-1.05,-8.79,0.01,0.12,0.06
2.26,-1.07,-10.05,-0.05,0.11,0.1
2.28,-0.62,-7.88,0.2,0.52,0.12
2.87,-1.44,-9.81,0.02,-0.03,0.14
3.33,-1.75,-8.26,0.13,0.28,0.27
2.64,-0.51,-9.11,0.31,0.36,-0.24
5.41,-1.42,-10.78,0.57,-0.3,0.56
3.92,-7.3,-4.11,-1.25,-0.13,-0.3
2.42,-0.78,-10.3,-0.04,0.33,-0.34
1.77,-0.8,-9.52,0.14,0.11,-0.04
3.25,-1.15,-9.17,-0.07,0.02,-0.1
2.56,-3.21,-8.27,-0.15,-0.08,0.15
2.51,-2.16,-8.77,-0.42,0.09,-0.05
3.16,-0.81,-9.2,-0.26,0.08,-0.18
3.31,-1.0,-8.95,0.0,0.02,-0.16
3.54,-1.9,-8.46,-0.13,-0.03,-0.02
2.95,-1.56,-8.78,-0.26,-0.0,0.03
2.97,-1.3,-8.93,-0.27,0.01,0.01
2.91,-0.93,-9.02,-0.11,0.01,-0.03
3.08,-1.1,-8.95,-0.04,0.01,-0.04
3.11,-1.47,-8.79,-0.06,0.01,-0.02
3.11,-1.47,-8.7,-0.08,-0.01,-0.01
3.03,-1.48,-8.77,-0.02,-0.04,0.01
2.91,-1.6,-8.88,-0.06,-0.01,-0.01
3.01,-1.78,-8.86,-0.1,-0.01,0.01
3.0,-1.64,-8.86,-0.12,0.01,-0.0
