Accelerometer: x-axis (g),Accelerometer: y-axis (g),Accelerometer: z-axis (g),Gyroscope: x-axis (rad/s),Gyroscope: y-axis (rad/s),Gyroscope: z-axis (rad/s)
10.38,0.37,0.02,-0.12,0.06,-0.02
10.62,0.42,-0.12,-0.11,0.03,-0.01
10.64,0.41,-0.05,-0.1,0.04,-0.02
10.51,0.35,0.08,-0.11,0.03,-0.0
10.32,0.4,0.04,-0.13,0.07,-0.01
10.43,0.46,-0.14,-0.12,0.04,-0.01
10.59,0.52,-0.03,-0.1,0.07,-0.02
10.81,0.56,0.07,-0.07,0.05,-0.02
10.66,0.54,0.27,-0.04,0.08,-0.01
10.77,0.37,-0.12,-0.06,0.05,-0.03
10.33,0.75,0.3,-0.01,0.06,-0.02
10.47,0.54,0.22,-0.01,0.15,-0.06
10.7,0.4,0.11,-0.02,0.12,-0.03
10.63,0.54,0.44,-0.01,0.15,-0.01
10.75,0.32,0.17,-0.07,0.16,-0.07
10.33,0.28,0.33,-0.01,0.12,-0.01
10.39,0.66,0.13,0.02,0.09,-0.02
10.45,0.31,0.51,0.03,0.08,-0.06
9.94,0.17,0.47,-0.16,0.21,-0.01
9.48,0.8,0.06,-0.02,0.12,-0.11
9.68,0.61,-0.6,0.15,0.42,-0.07
9.49,0.83,-1.44,0.24,0.24,-0.03
12.13,1.23,-0.69,0.3,0.01,-0.12
8.7,1.49,0.02,0.63,-0.28,-0.28
8.73,1.88,2.03,1.31,0.58,-0.37
9.9,-0.19,0.13,1.06,-0.14,-0.42
7.49,-0.37,-1.14,1.73,0.02,-0.27
6.45,-0.67,-0.13,0.17,0.03,-0.2
7.47,0.03,1.54,0.25,0.65,-0.32
8.46,-0.35,-0.68,-0.35,0.09,-0.38
8.22,0.95,1.51,0.29,1.0,-0.84
6.8,0.37,3.89,0.84,0.34,-0.59
5.8,1.6,4.45,1.77,2.43,-1.08
7.89,1.24,4.31,3.04,2.61,-1.0
27.74,5.98,36.21,-3.34,4.37,-0.06
34.99,16.32,4.24,2.12,4.37,-4.29
-5.59,-4.23,-15.74,-0.31,2.06,-2.87
17.1,-1.03,2.45,-0.08,4.12,-0.77
6.16,3.84,3.05,-0.03,0.71,-2.58
1.84,5.43,6.86,-0.72,-0.16,-0.97
-2.38,16.98,7.83,2.81,-3.98,0.78
-3.37,10.32,15.16,3.93,-1.24,0.3
-2.3,55.42,44.09,1.99,2.15,-2.6
-2.77,-16.74,-32.58,-2.22,4.37,-1.86
-7.34,9.37,16.14,-4.37,-2.99,-1.14
3.08,3.08,8.44,-2.25,1.13,2.92
2.8,5.15,10.73,-3.19,0.58,0.9
-1.9,3.56,10.55,-1.85,1.32,0.24
-0.32,2.29,11.3,-0.57,0.49,0.87
-2.04,3.42,9.85,-0.32,-0.14,0.44
0.38,2.74,10.98,-0.26,-0.4,0.21
0.51,2.27,10.24,-0.17,-0.71,0.36
0.96,2.58,11.18,-0.16,-0.34,0.13
1.5,2.71,10.27,0.13,-0.6,0.21
1.63,2.75,10.43,-0.26,-0.27,0.1
1.63,2.43,10.78,-0.48,0.17,-0.01
1.47,2.32,10.72,-0.24,0.19,-0.05
1.37,2.27,10.68,-0.2,0.14,-0.05
1.24,2.27,10.7,-0.22,0.15,-0.06
1.22,2.22,10.74,-0.21,0.1,-0.03
1.18,2.21,10.69,-0.13,0.02,-0.01
1.18,2.22,10.73,-0.1,-0.02,-0.01
1.2,2.23,10.72,-0.1,-0.02,0.01
1.2,2.22,10.68,-0.13,-0.0,0.01
1.22,2.23,10.7,-0.13,0.01,-0.0
1.21,2.23,10.69,-0.13,0.02,-0.01
1.19,2.22,10.71,-0.14,0.03,-0.02
1.17,2.18,10.7,-0.15,0.03,-0.01
1.16,2.18,10.72,-0.14,0.02,-0.02
1.14,2.16,10.71,-0.13,0.02,-0.02
1.14,2.19,10.72,-0.13,0.01,-0.01
1.14,2.15,10.72,-0.13,0.01,-0.01
1.14,2.16,10.74,-0.13,0.0,-0.01
1.13,2.15,10.73,-0.14,0.01,-0.01
1.11,2.15,10.73,-0.12,0.01,-0.01
1.11,2.16,10.71,-0.11,0.0,-0.01
1.13,2.16,10.73,-0.12,0.01,-0.01
1.14,2.15,10.74,-0.11,0.01,-0.01
1.11,2.15,10.73,-0.11,0.01,-0.01
1.11,2.16,10.71,-0.11,-0.0,-0.0
1.11,2.17,10.76,-0.1,0.0,-0.01
1.09,2.21,10.75,-0.09,-0.02,0.0
1.21,2.2,10.69,-0.07,0.01,0.01
1.09,2.13,10.38,0.04,0.08,0.03
2.97,2.63,11.52,0.33,-0.58,0.35
4.56,2.83,9.89,0.38,-2.45,0.8
0.83,7.08,15.23,0.45,-1.3,-0.98
1.17,1.46,10.89,0.63,1.06,0.16
4.64,3.08,8.76,0.51,-0.38,0.02
1.29,3.5,7.48,0.72,0.13,-0.02
4.13,3.14,8.35,0.59,-0.65,0.28
2.26,4.96,8.83,0.77,-0.84,0.21
2.55,4.26,9.42,0.39,0.08,0.23
4.8,5.98,10.56,0.27,0.24,0.08
4.08,5.79,9.74,0.11,-0.19,0.08
4.88,4.77,10.38,0.13,-0.6,0.17
2.7,5.14,8.77,-0.04,-0.27,0.16
3.67,5.52,7.86,0.31,0.15,0.15
4.1,5.62,7.98,0.22,0.03,0.04
4.19,5.92,8.18,0.51,-0.62,0.23
3.54,6.26,8.64,0.51,-0.37,0.17
3.72,5.6,7.69,0.13,0.77,0.02
6.5,6.76,9.44,-0.1,-0.54,0.23
3.15,5.78,8.37,-0.23,-0.26,0.22
4.28,5.71,7.3,-0.17,-0.06,0.17
5.5,5.43,7.64,0.01,0.19,0.2
4.89,5.4,8.69,-0.38,-0.39,0.33
5.07,6.42,9.54,-0.28,0.03,0.23
