Accelerometer: x-axis (g),Accelerometer: y-axis (g),Accelerometer: z-axis (g),Gyroscope: x-axis (rad/s),Gyroscope: y-axis (rad/s),Gyroscope: z-axis (rad/s)
10.47,-0.35,1.17,-1.01,-0.02,-0.37
10.1,-0.2,2.05,-1.1,0.02,-0.51
9.75,-0.27,1.75,-1.37,0.07,-0.46
9.7,-0.02,3.11,-1.74,0.23,-0.46
7.35,0.71,1.89,-1.6,0.27,-0.45
9.44,4.22,1.71,-0.77,0.55,-0.1
10.14,3.07,2.69,0.1,0.44,0.12
6.89,2.34,0.5,0.96,0.42,-0.01
7.22,-0.3,1.93,0.67,0.49,0.28
8.93,-0.55,-0.24,0.17,-0.09,0.34
10.83,-1.19,0.25,-0.95,-1.04,0.49
7.49,1.23,-0.89,-0.78,-0.55,0.22
11.38,0.79,3.82,-0.16,0.71,0.84
7.57,2.78,2.98,-0.07,0.4,1.34
7.72,-2.26,2.16,0.58,1.56,2.11
4.58,-9.0,21.12,0.29,3.39,2.41
33.64,-18.63,16.92,4.37,4.28,2.45
6.36,-4.18,4.05,0.87,2.53,1.8
4.04,-4.75,1.66,1.32,2.82,1.79
8.79,-2.6,4.0,0.55,3.32,1.76
10.01,1.7,8.43,1.23,3.64,1.65
-0.24,-1.8,3.29,2.48,3.92,1.51
-9.01,-15.08,25.62,1.39,-0.03,1.33
-1.25,9.9,0.82,2.27,0.65,2.07
-3.33,1.13,11.81,3.56,-0.26,0.25
-2.06,-3.62,8.49,2.24,-0.66,1.7
1.56,19.98,6.9,3.29,-2.16,1.63
-5.83,13.91,12.33,4.37,-1.78,1.82
-3.1,6.13,45.5,0.24,-0.77,-2.32
8.27,4.8,-6.98,0.15,3.57,1.09
-5.09,14.25,7.6,1.43,-2.71,-0.52
-3.8,4.6,6.04,1.12,2.7,0.32
4.95,6.76,2.64,0.14,0.14,-0.34
-1.86,11.3,3.05,-0.27,-1.03,-0.21
-1.67,8.63,4.66,0.28,0.25,0.08
0.74,8.74,5.99,0.14,0.13,0.22
0.67,8.04,4.65,0.05,-0.08,0.27
-0.11,8.16,4.67,-0.25,-0.09,0.16
1.19,9.0,5.08,-0.25,0.06,0.26
0.69,10.0,5.1,-0.07,-0.07,0.06
1.14,7.78,4.42,-0.32,0.34,0.12
0.76,9.23,6.06,-0.13,0.06,-0.13
1.25,8.49,4.97,-0.13,0.04,-0.05
0.44,9.71,5.97,0.18,0.13,-0.08
1.17,8.69,5.4,0.15,0.13,0.01
0.49,7.94,4.97,0.13,0.09,-0.04
0.67,8.34,4.11,0.01,0.12,-0.14
0.46,9.34,4.29,-0.21,0.01,-0.19
0.1,9.76,3.75,-0.25,-0.02,-0.02
0.52,8.9,4.96,-0.24,0.08,0.06
1.06,8.26,5.19,-0.24,-0.13,-0.03
0.14,8.52,5.61,-0.11,-0.16,-0.1
0.39,8.57,4.57,-0.32,-0.03,-0.06
1.01,8.88,4.63,-0.28,0.09,-0.05
0.74,9.36,4.85,-0.26,-0.08,-0.03
0.06,9.11,5.52,-0.03,-0.03,0.02
0.37,8.64,5.18,-0.02,-0.06,0.01
0.44,8.54,5.19,0.02,-0.08,-0.02
0.15,8.62,5.42,0.0,-0.07,0.01
0.15,8.63,4.97,-0.11,-0.01,0.02
0.46,8.39,4.72,-0.22,0.04,0.01
0.8,9.43,4.19,-0.22,-0.06,0.0
0.83,9.39,4.7,-0.35,-0.05,0.08
1.17,8.31,5.34,-0.45,-0.12,0.03
0.17,8.37,4.87,-0.3,-0.09,-0.05
1.24,8.75,4.55,-0.44,0.05,0.02
0.62,9.03,6.56,-0.05,-0.01,-0.13
0.72,8.03,6.25,-0.16,-0.13,-0.05
0.34,8.3,5.69,-0.21,-0.13,-0.08
0.81,8.95,5.69,0.05,-0.3,-0.03
0.63,8.49,5.44,-0.05,-0.21,-0.04
0.48,8.2,5.13,-0.0,0.02,-0.02
0.87,8.26,4.8,-0.2,-0.04,-0.05
1.31,8.73,4.93,-0.13,-0.14,-0.1
