Accelerometer: x-axis (g),Accelerometer: y-axis (g),Accelerometer: z-axis (g),Gyroscope: x-axis (rad/s),Gyroscope: y-axis (rad/s),Gyroscope: z-axis (rad/s)
9.65,0.26,5.09,-0.11,-0.01,-0.01
9.64,0.33,5.15,-0.12,-0.0,-0.01
9.62,0.25,5.06,-0.1,-0.0,-0.0
9.65,0.28,5.1,-0.1,0.01,-0.0
9.67,0.25,5.15,-0.12,-0.0,-0.01
9.66,0.33,5.05,-0.12,-0.0,-0.01
9.61,0.27,5.04,-0.12,-0.01,-0.03
9.69,0.25,5.23,-0.15,0.02,-0.04
9.83,0.62,4.81,-0.12,-0.05,-0.06
9.95,0.55,4.12,-0.11,-0.14,-0.02
9.85,0.76,3.75,-0.16,-0.05,0.02
9.56,0.37,4.43,-0.14,0.03,-0.0
9.83,0.65,4.34,-0.11,-0.05,-0.06
9.63,0.73,3.46,-0.1,-0.21,-0.11
9.34,1.24,3.42,0.06,-0.15,-0.1
8.42,1.79,3.75,0.37,0.04,-0.01
8.5,1.72,2.84,0.78,0.09,0.32
8.49,0.85,2.95,0.87,0.25,0.28
9.22,1.05,3.16,1.01,0.14,0.36
7.96,2.56,2.58,1.53,0.41,0.59
7.63,1.27,4.41,1.81,0.85,0.61
11.45,2.59,4.01,2.49,0.87,0.68
10.45,3.37,4.75,3.24,0.27,0.86
8.96,0.24,4.0,3.67,0.51,1.13
5.27,0.06,5.79,3.94,1.19,1.26
4.81,-0.09,6.41,3.75,1.54,1.42
2.64,0.26,7.16,3.99,2.12,1.32
0.17,-4.63,9.97,3.47,2.67,0.9
-3.55,-0.7,18.91,2.77,4.12,-0.56
20.23,16.29,18.61,1.58,3.13,-2.01
10.61,-1.62,2.49,3.08,0.19,-0.59
6.14,12.18,-1.7,3.66,0.97,0.42
6.35,0.51,4.83,4.37,0.42,0.85
14.43,14.59,3.45,4.37,-0.61,2.44
9.51,-3.01,7.68,4.37,-1.23,0.32
-3.33,-2.69,-6.71,3.87,-1.44,-2.27
6.79,16.03,-6.96,3.93,-0.92,-0.25
-1.73,3.54,-8.25,4.37,-1.96,-0.01
-6.84,9.15,-14.49,1.31,-0.76,1.3
10.89,-2.42,0.2,2.1,0.81,2.3
0.08,3.33,-11.5,2.99,-0.08,0.89
2.0,-1.47,-10.76,2.3,1.52,2.36
5.41,-5.78,-7.96,1.44,0.39,1.43
5.48,-4.97,-7.58,0.85,-0.97,1.25
2.85,-4.44,-7.27,0.52,-0.09,0.92
3.94,-5.04,-7.98,0.3,0.22,0.29
4.25,-4.15,-7.39,-0.02,0.3,0.06
3.02,-3.91,-8.02,-0.41,-0.01,-0.3
3.32,-3.27,-8.29,-0.63,0.11,-0.61
3.75,-1.54,-8.54,-0.69,0.12,-0.7
4.28,-0.6,-8.46,-0.56,0.3,-0.55
4.7,-2.5,-8.31,-0.56,0.32,-0.5
4.96,-0.3,-8.44,-0.34,0.4,-0.36
4.92,-2.2,-7.84,-0.41,0.11,-0.14
4.68,-0.21,-8.79,-0.43,0.36,-0.31
5.9,-0.91,-8.72,-0.2,0.24,-0.17
5.84,-0.19,-7.72,-0.28,-0.04,-0.22
5.62,-0.26,-8.02,-0.25,0.13,-0.25
5.82,-0.1,-7.06,-0.3,0.04,-0.17
5.97,-0.2,-8.11,-0.3,-0.01,-0.15
