Accelerometer: x-axis (g),Accelerometer: y-axis (g),Accelerometer: z-axis (g),Gyroscope: x-axis (rad/s),Gyroscope: y-axis (rad/s),Gyroscope: z-axis (rad/s)
10.5,-0.02,3.14,-0.08,0.09,-0.06
10.35,-0.0,3.1,-0.12,0.12,-0.05
9.72,0.06,3.1,-0.06,0.18,-0.01
9.78,0.26,2.62,0.09,0.09,-0.0
9.4,0.48,2.43,0.43,0.02,-0.0
7.83,1.06,2.22,0.84,0.15,0.28
12.72,-0.62,2.29,0.77,0.26,-0.13
9.79,0.83,2.05,0.78,-0.33,0.05
11.05,0.97,1.5,0.56,0.03,-0.14
8.82,-0.24,2.36,0.61,-0.16,-0.13
8.31,0.38,1.61,0.8,0.07,-0.04
8.38,0.51,1.96,0.94,0.2,-0.08
8.82,0.36,2.0,1.12,0.33,-0.07
9.89,-0.25,1.42,1.1,0.15,-0.24
9.48,-0.09,2.17,0.95,-0.07,-0.24
7.86,0.17,2.67,0.63,-0.09,-0.39
8.52,0.6,4.1,1.2,0.3,-0.26
6.73,-0.39,10.52,0.78,0.34,-0.93
3.64,1.4,6.04,0.91,0.91,-1.21
8.43,0.98,3.42,1.76,2.54,-0.93
21.47,6.54,14.88,-0.55,4.37,-2.06
22.23,15.07,13.24,2.76,3.33,-3.22
4.81,-9.22,-2.0,1.21,4.37,-2.66
11.58,4.03,3.04,0.81,4.37,-1.83
3.52,1.94,7.19,0.97,1.22,-1.5
-1.64,8.48,3.49,1.99,-0.58,0.21
0.36,12.68,5.6,3.23,0.2,1.72
-0.49,11.88,5.37,4.37,-0.25,1.16
3.05,2.12,2.16,4.37,-1.91,1.54
6.76,60.22,-9.63,4.28,-4.37,-4.37
-7.78,-1.4,-8.16,3.36,1.73,-2.91
-2.72,3.39,-4.3,1.09,1.59,0.44
-1.91,7.19,-5.41,2.21,-1.5,-0.32
-4.05,3.48,-8.2,2.39,-0.16,-0.11
-1.27,3.11,-9.44,2.93,-0.15,-0.02
-1.29,3.34,-7.3,2.33,-0.48,0.47
-3.02,-0.78,-8.64,1.52,-0.18,0.68
-0.56,-0.4,-7.52,0.85,0.36,0.49
-1.06,1.59,-8.68,0.77,-0.02,-0.11
-0.31,1.99,-9.91,0.75,0.41,0.21
0.04,-0.2,-8.83,0.45,0.18,-0.02
-0.53,0.69,-9.77,0.32,0.18,-0.17
0.23,-0.35,-8.93,0.27,0.27,-0.1
0.56,-0.21,-9.38,0.24,0.2,-0.18
1.01,0.09,-9.18,0.22,0.19,-0.04
0.8,-0.79,-9.07,0.06,-0.0,-0.07
0.78,-0.33,-9.08,-0.03,0.04,-0.01
-0.27,-1.03,-8.91,-0.21,0.09,-0.0
0.06,0.2,-9.31,-0.18,0.14,0.05
-0.17,-0.09,-9.3,-0.16,0.24,-0.01
0.58,0.33,-9.58,-0.09,0.17,0.03
0.91,0.05,-9.11,-0.05,0.21,0.06
1.24,0.16,-9.17,-0.01,0.13,0.05
1.87,-0.24,-9.06,-0.0,-0.1,0.08
0.87,0.08,-8.89,0.08,-0.2,0.03
0.65,-0.74,-9.54,-0.11,-0.01,0.13
0.03,-0.61,-9.33,-0.13,0.14,0.17
-0.2,-0.64,-10.03,-0.16,0.13,0.25
0.34,0.14,-8.76,-0.07,0.22,0.26
1.93,-0.38,-8.78,-0.02,-0.09,0.14
