Accelerometer: x-axis (g),Accelerometer: y-axis (g),Accelerometer: z-axis (g),Gyroscope: x-axis (rad/s),Gyroscope: y-axis (rad/s),Gyroscope: z-axis (rad/s)
9.67,-4.29,-0.28,-0.12,0.02,-0.4
9.46,-3.68,-0.41,-0.0,0.05,-0.35
10.13,-3.65,-0.51,-0.09,0.14,-0.25
10.06,-3.18,-0.38,-0.24,0.1,-0.21
9.83,-3.03,-0.12,-0.27,0.25,-0.16
10.08,-3.09,0.1,-0.35,0.26,-0.13
9.93,-2.68,0.4,-0.34,0.29,-0.03
10.24,-2.95,0.64,-0.35,0.37,0.04
10.15,-2.86,0.76,-0.42,0.35,0.09
10.01,-2.92,1.19,-0.47,0.47,0.1
9.45,-2.84,1.46,-0.51,0.53,0.16
9.34,-2.85,2.48,-0.56,0.78,0.08
7.94,-2.99,2.59,-0.73,0.63,0.19
7.1,-3.79,2.96,-0.81,0.61,0.49
5.27,-3.8,2.46,-1.4,0.68,0.9
5.18,-1.71,0.85,-1.36,0.61,1.13
5.63,0.74,0.85,-0.91,0.11,1.17
3.39,1.14,-0.18,0.11,-0.43,0.87
7.82,1.5,1.19,0.69,-0.06,1.03
7.62,-4.06,0.93,0.19,-0.06,1.42
16.13,-7.29,0.75,-0.08,-1.2,0.35
13.47,-10.46,-0.01,-0.87,-2.05,1.25
14.1,-11.67,1.73,-2.09,-2.05,1.61
14.58,-13.22,1.1,-3.34,-1.89,2.53
10.78,-8.92,-2.74,-2.56,-1.8,4.37
0.1,-3.26,-3.29,-0.56,-1.37,3.93
6.75,-9.77,6.86,-1.01,1.71,2.3
-7.08,-0.79,-13.23,-2.81,-3.28,3.07
-5.49,-5.14,-2.44,0.0,-2.57,2.26
-37.76,-17.07,-18.26,-1.24,-2.75,0.44
0.96,3.04,-4.89,-1.68,-0.05,0.96
-4.16,-14.32,-4.9,-1.07,-2.8,1.54
-8.51,3.0,-3.78,-1.22,-2.73,1.76
-7.46,-3.31,-3.23,-0.5,-1.72,1.34
-9.84,-1.69,-0.79,-1.69,-1.59,1.02
-6.28,-0.98,0.47,-1.9,0.16,0.27
-8.47,-0.82,-1.12,-1.66,-0.31,0.13
-8.18,-1.49,-1.77,-1.8,0.26,-0.14
-7.08,-1.88,-1.9,-1.95,1.4,-0.52
-7.84,-0.83,-6.3,-1.42,1.75,-1.01
-5.94,-2.07,-4.02,-0.91,2.07,-1.3
-6.26,-1.55,-7.92,-0.37,3.03,-1.63
-5.34,-2.71,-7.7,0.04,2.53,-1.57
-2.73,-6.45,-12.53,0.45,0.72,-1.21
0.19,-2.41,-7.72,1.25,-0.19,-0.85
-1.51,-4.54,-8.06,0.5,-0.07,-0.26
0.51,-4.44,-7.31,-0.09,0.55,0.51
-0.34,-4.68,-8.7,0.14,-0.76,0.39
-1.99,-4.44,-7.97,0.29,-0.44,0.01
-2.69,-5.37,-7.35,0.4,-0.02,-0.02
-2.08,-5.25,-7.64,0.31,0.02,-0.13
-2.27,-4.87,-6.91,0.42,-0.21,-0.15
-2.45,-5.94,-7.02,0.47,-0.17,-0.25
-3.4,-5.33,-6.88,0.49,0.08,-0.16
-2.61,-6.39,-5.76,0.61,0.11,-0.02
-3.3,-6.05,-6.22,0.41,0.19,0.08
-2.17,-7.18,-6.0,0.18,0.39,0.12
-2.43,-6.6,-6.3,0.39,0.21,-0.05
-2.17,-7.16,-5.44,0.34,0.06,-0.12
-2.2,-6.85,-5.47,0.26,-0.1,-0.16
