Accelerometer: x-axis (g),Accelerometer: y-axis (g),Accelerometer: z-axis (g),Gyroscope: x-axis (rad/s),Gyroscope: y-axis (rad/s),Gyroscope: z-axis (rad/s)
7.87,-5.13,-1.09,-0.18,-0.1,-0.45
12.05,-2.52,-3.24,0.06,0.17,-0.99
7.01,-3.43,-1.69,-0.16,-1.14,0.11
8.78,-3.83,-0.79,0.18,0.81,-0.32
12.73,-1.17,-3.51,-0.07,-0.05,-0.05
9.34,-3.02,-2.13,-0.14,-0.14,0.03
10.97,-2.08,-2.6,-0.13,0.02,0.28
10.28,-2.18,-1.69,-0.12,0.25,0.58
10.6,-3.34,-1.87,-0.11,0.13,0.77
8.58,-3.86,-0.83,-0.37,0.17,1.04
7.58,-5.17,-0.31,-0.45,0.49,1.21
9.46,-5.8,-2.23,-0.51,0.62,1.06
8.79,-5.82,-2.6,-0.64,0.03,1.07
7.68,-4.18,-1.06,-0.33,0.14,0.98
7.75,-4.23,-1.78,0.04,0.29,0.59
8.04,-4.75,-1.62,0.26,0.26,0.38
8.22,-4.4,-1.81,0.48,-0.01,0.27
7.97,-3.53,-0.57,0.82,-0.21,0.08
9.25,-2.66,-0.48,1.34,-0.98,-0.24
6.78,-2.3,2.29,1.46,-1.45,-0.29
6.53,-3.63,1.3,2.45,-0.4,-1.45
10.57,-6.45,-0.46,2.77,-0.22,-0.91
4.81,-5.91,0.32,2.9,-0.05,-0.94
5.38,-2.18,-5.39,3.05,0.53,-1.21
1.4,-21.04,-2.38,-0.66,3.58,-2.37
16.52,-7.7,11.15,-0.29,2.43,0.45
13.1,-8.12,1.74,-1.12,2.68,-0.13
6.37,-0.9,3.16,-2.14,-1.2,1.3
5.18,-2.95,2.64,-2.43,-0.24,1.02
13.11,-18.42,3.33,-2.89,0.36,-1.82
11.33,-4.53,4.16,-2.86,-0.77,1.21
5.41,-11.2,2.49,-1.51,0.4,2.24
13.71,-16.58,1.07,-1.58,0.55,1.21
2.06,-7.02,-0.44,-2.03,-1.38,0.81
5.09,-10.82,0.05,-0.56,1.45,1.0
7.45,-11.57,-2.79,-0.83,-0.42,0.62
2.77,-7.45,-0.96,-0.72,0.16,0.81
7.54,-11.54,-0.89,0.02,0.71,0.26
7.08,-10.61,-1.82,-0.6,-0.38,0.45
4.44,-7.43,-1.24,-0.28,-0.31,-0.01
3.58,-7.83,-3.59,-0.35,-0.16,0.07
3.87,-10.43,-4.58,-0.28,-0.09,-0.03
4.93,-8.94,-2.09,-0.33,-0.81,-0.02
5.75,-6.93,-2.13,-0.38,0.15,-0.05
5.51,-8.31,-3.12,-0.45,-0.12,-0.18
4.91,-8.07,-3.93,-0.27,-0.21,-0.3
4.84,-7.96,-3.79,-0.07,-0.33,-0.39
5.25,-7.9,-3.28,-0.14,-0.33,-0.45
6.05,-7.4,-3.29,-0.12,-0.34,-0.4
5.41,-7.75,-3.45,-0.26,-0.31,-0.36
5.95,-6.51,-4.2,-0.11,-0.5,-0.36
4.87,-8.69,-2.9,-0.53,-0.2,-0.24
6.78,-6.36,-4.72,-0.34,0.2,-0.19
6.2,-6.55,-4.26,-0.59,0.15,-0.15
5.7,-6.73,-4.49,-0.42,0.2,-0.18
5.65,-7.55,-3.85,-0.34,0.18,-0.0
5.78,-7.36,-3.08,-0.3,0.23,-0.04
6.12,-7.12,-3.96,-0.49,0.21,-0.1
6.52,-6.4,-4.77,-0.53,0.05,-0.24
5.82,-6.44,-4.94,-0.42,-0.12,-0.32
